"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Pablo Fornals","https://sortitoutsi.net/graphics/browse/1/458510/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67214613.png","67214613","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/67214613.png?width=100&height=100","0
                                 25"
"Pablo García","https://sortitoutsi.net/graphics/browse/1/1470824/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000210786.png","2000210786","","","0
                                 9"
"Pablo López","https://sortitoutsi.net/graphics/browse/1/1747363/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000422033.png","2000422033","","","0
                                 1"
"Pau López","https://sortitoutsi.net/graphics/browse/1/456173/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67178152.png","67178152","V 2023.15","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.15/67178152.png?width=100&height=100","0
                                 20"
"Rafa Oya","https://sortitoutsi.net/graphics/browse/1/1824327/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000419347.png","2000419347","","","0
                                 1"
"Rica","https://sortitoutsi.net/graphics/browse/1/1824054/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000420815.png","2000420815","","","0
                                 1"
"Ricardo Rodríguez","https://sortitoutsi.net/graphics/browse/1/535446/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/98003635.png","98003635","","","3
                                 40"
"Rodrigo Marina","https://sortitoutsi.net/graphics/browse/1/1594172/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000210790.png","2000210790","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000210790.png?width=100&height=100","0
                                 5"
"Rodrigo Riquelme","https://sortitoutsi.net/graphics/browse/1/788645/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67259880.png","67259880","","","1
                                 20"
"Rubén De Sá","https://sortitoutsi.net/graphics/browse/1/1820630/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000384301.png","2000384301","","","0
                                 1"
"Sergi Altimira","https://sortitoutsi.net/graphics/browse/1/1385009/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000116169.png","2000116169","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/2000116169.png?width=100&height=100","0
                                 7"
"Sofyan Amrabat","https://sortitoutsi.net/graphics/browse/1/307224/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/37045879.png","37045879","","","2
                                 37"
"Tago Baró","https://sortitoutsi.net/graphics/browse/1/1712134/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000508959.png","2000508959","","","Contribute"
"Trebu","https://sortitoutsi.net/graphics/browse/1/1824303/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000419320.png","2000419320","","","0
                                 1"
"Valentín Gómez","https://sortitoutsi.net/graphics/browse/1/1325526/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000077331.png","2000077331","","","1
                                 20"
"Víctor Tellado","https://sortitoutsi.net/graphics/browse/1/1559886/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000303894.png","2000303894","","","Contribute"
"Yan Zhuravskiy","https://sortitoutsi.net/graphics/browse/1/1824977/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000506322.png","2000506322","","","Contribute"
"Yanis Senhadji","https://sortitoutsi.net/graphics/browse/1/1536206/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000238351.png","2000238351","","","0
                                 8"
"Ziyad Baha","https://sortitoutsi.net/graphics/browse/1/1824564/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000504183.png","2000504183","","","Contribute"
